"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"368","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"369","","Chimarrhis turbinata","4.95300007","",NA,""
"370","","Chimarrhis turbinata","25.952225","C",NA,""
"371","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"372","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"373","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.33","%",23.3,"mg/g"
"374","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.53","per mill",7.53,"per mill"
"375","","Chimarrhis turbinata","9.5","",NA,""
"376","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.97","per mill",-1.97,"per mill"
"377","","Chimarrhis turbinata","Ometto","",NA,""
"378","","Chimarrhis turbinata","-54.96","",-54.96,""
"379","","Chimarrhis turbinata","-2.86","",-2.86,""
"380","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"381","","Chimarrhis turbinata","4.95300007","",NA,""
"382","","Chimarrhis turbinata","25.952225","C",NA,""
"383","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"384","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"385","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.33","%",23.3,"mg/g"
"386","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.62","per mill",8.62,"per mill"
"387","","Chimarrhis turbinata","9.5","",NA,""
"388","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.88","per mill",-0.88,"per mill"
"389","","Chimarrhis turbinata","Ometto","",NA,""
"390","","Chimarrhis turbinata","-54.96","",-54.96,""
"391","","Chimarrhis turbinata","-2.86","",-2.86,""
"392","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"393","","Chimarrhis turbinata","4.95300007","",NA,""
"394","","Chimarrhis turbinata","25.952225","C",NA,""
"395","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"396","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"397","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.35","%",23.5,"mg/g"
"398","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","9.11","per mill",9.11,"per mill"
"399","","Chimarrhis turbinata","9.5","",NA,""
"400","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.39","per mill",-0.39,"per mill"
"401","","Chimarrhis turbinata","Ometto","",NA,""
"402","","Chimarrhis turbinata","-54.96","",-54.96,""
"403","","Chimarrhis turbinata","-2.86","",-2.86,""
"404","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"405","","Chimarrhis turbinata","4.95300007","",NA,""
"406","","Chimarrhis turbinata","25.952225","C",NA,""
"407","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"408","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"409","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.36","%",23.6,"mg/g"
"410","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.9","per mill",7.9,"per mill"
"411","","Chimarrhis turbinata","9.5","",NA,""
"412","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.6","per mill",-1.6,"per mill"
"413","","Chimarrhis turbinata","Ometto","",NA,""
"414","","Chimarrhis turbinata","-54.96","",-54.96,""
"415","","Chimarrhis turbinata","-2.86","",-2.86,""
"416","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"417","","Chimarrhis turbinata","4.95300007","",NA,""
"418","","Chimarrhis turbinata","25.952225","C",NA,""
"419","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"420","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"421","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.4","%",24,"mg/g"
"422","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.59","per mill",7.59,"per mill"
"423","","Chimarrhis turbinata","9.5","",NA,""
"424","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.91","per mill",-1.91,"per mill"
"425","","Chimarrhis turbinata","Ometto","",NA,""
"426","","Chimarrhis turbinata","-54.96","",-54.96,""
"427","","Chimarrhis turbinata","-2.86","",-2.86,""
"428","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"429","","Chimarrhis turbinata","4.95300007","",NA,""
"430","","Chimarrhis turbinata","25.952225","C",NA,""
"431","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"432","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"433","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.4","%",24,"mg/g"
"434","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.8","per mill",7.8,"per mill"
"435","","Chimarrhis turbinata","9.5","",NA,""
"436","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.7","per mill",-1.7,"per mill"
"437","","Chimarrhis turbinata","Ometto","",NA,""
"438","","Chimarrhis turbinata","-54.96","",-54.96,""
"439","","Chimarrhis turbinata","-2.86","",-2.86,""
"440","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"441","","Chimarrhis turbinata","4.95300007","",NA,""
"442","","Chimarrhis turbinata","25.952225","C",NA,""
"443","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"444","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"445","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.44","%",24.4,"mg/g"
"446","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.1","per mill",7.1,"per mill"
"447","","Chimarrhis turbinata","9.5","",NA,""
"448","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-2.4","per mill",-2.4,"per mill"
"449","","Chimarrhis turbinata","Ometto","",NA,""
"450","","Chimarrhis turbinata","-54.96","",-54.96,""
"451","","Chimarrhis turbinata","-2.86","",-2.86,""
"452","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"453","","Chimarrhis turbinata","4.95300007","",NA,""
"454","","Chimarrhis turbinata","25.952225","C",NA,""
"455","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"456","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"457","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.45","%",24.5,"mg/g"
"458","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.02","per mill",7.02,"per mill"
"459","","Chimarrhis turbinata","9.5","",NA,""
"460","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-2.48","per mill",-2.48,"per mill"
"461","","Chimarrhis turbinata","Ometto","",NA,""
"462","","Chimarrhis turbinata","-54.96","",-54.96,""
"463","","Chimarrhis turbinata","-2.86","",-2.86,""
"464","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"465","","Chimarrhis turbinata","4.95300007","",NA,""
"466","","Chimarrhis turbinata","25.952225","C",NA,""
"467","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"468","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"469","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.46","%",24.6,"mg/g"
"470","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.59","per mill",8.59,"per mill"
"471","","Chimarrhis turbinata","9.5","",NA,""
"472","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.91","per mill",-0.91,"per mill"
"473","","Chimarrhis turbinata","Ometto","",NA,""
"474","","Chimarrhis turbinata","-54.96","",-54.96,""
"475","","Chimarrhis turbinata","-2.86","",-2.86,""
"476","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"477","","Chimarrhis turbinata","4.95300007","",NA,""
"478","","Chimarrhis turbinata","25.952225","C",NA,""
"479","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"480","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"481","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.49","%",24.9,"mg/g"
"482","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.84","per mill",8.84,"per mill"
"483","","Chimarrhis turbinata","9.5","",NA,""
"484","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.66","per mill",-0.66,"per mill"
"485","","Chimarrhis turbinata","Ometto","",NA,""
"486","","Chimarrhis turbinata","-54.96","",-54.96,""
"487","","Chimarrhis turbinata","-2.86","",-2.86,""
"488","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"489","","Chimarrhis turbinata","4.95300007","",NA,""
"490","","Chimarrhis turbinata","25.952225","C",NA,""
"491","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"492","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"493","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.57","%",25.7,"mg/g"
"494","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","9.19","per mill",9.19,"per mill"
"495","","Chimarrhis turbinata","9.5","",NA,""
"496","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.31","per mill",-0.31,"per mill"
"497","","Chimarrhis turbinata","Ometto","",NA,""
"498","","Chimarrhis turbinata","-54.96","",-54.96,""
"499","","Chimarrhis turbinata","-2.86","",-2.86,""
"500","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"501","","Chimarrhis turbinata","4.95300007","",NA,""
"502","","Chimarrhis turbinata","25.952225","C",NA,""
"503","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"504","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"505","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.63","%",26.3,"mg/g"
"506","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.26","per mill",7.26,"per mill"
"507","","Chimarrhis turbinata","9.5","",NA,""
"508","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-2.24","per mill",-2.24,"per mill"
"509","","Chimarrhis turbinata","Ometto","",NA,""
"510","","Chimarrhis turbinata","-54.96","",-54.96,""
"511","","Chimarrhis turbinata","-2.86","",-2.86,""
"512","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"513","","Chimarrhis turbinata","4.95300007","",NA,""
"514","","Chimarrhis turbinata","25.952225","C",NA,""
"515","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"516","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"517","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.67","%",26.7,"mg/g"
"518","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.2","per mill",8.2,"per mill"
"519","","Chimarrhis turbinata","9.5","",NA,""
"520","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.3","per mill",-1.3,"per mill"
"521","","Chimarrhis turbinata","Ometto","",NA,""
"522","","Chimarrhis turbinata","-54.96","",-54.96,""
"523","","Chimarrhis turbinata","-2.86","",-2.86,""
"524","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"525","","Chimarrhis turbinata","4.95300007","",NA,""
"526","","Chimarrhis turbinata","25.952225","C",NA,""
"527","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"528","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"529","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","1.64","%",16.4,"mg/g"
"530","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.73","per mill",8.73,"per mill"
"531","","Chimarrhis turbinata","9.5","",NA,""
"532","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-0.77","per mill",-0.77,"per mill"
"533","","Chimarrhis turbinata","Ometto","",NA,""
"534","","Chimarrhis turbinata","-54.96","",-54.96,""
"535","","Chimarrhis turbinata","-2.86","",-2.86,""
"536","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"537","","Chimarrhis turbinata","4.95300007","",NA,""
"538","","Chimarrhis turbinata","25.952225","C",NA,""
"539","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
"540","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"541","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.46","%",24.6,"mg/g"
"542","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.81","per mill",7.81,"per mill"
"543","","Chimarrhis turbinata","9.5","",NA,""
"544","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.69","per mill",-1.69,"per mill"
"545","","Chimarrhis turbinata","Gabi.Thesis","",NA,""
"546","","Chimarrhis turbinata","-54.95","",-54.95,""
"547","","Chimarrhis turbinata","-2.85","",-2.85,""
"548","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"549","","Chimarrhis turbinata","4.95300007","",NA,""
"550","","Chimarrhis turbinata","24","C",NA,""
"551","","Chimarrhis turbinata","2190","mm/yr",NA,""
"552","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"553","","Chimarrhis turbinata","9.43429149","",NA,""
"554","","Chimarrhis turbinata","12.862999","",NA,""
"555","","Chimarrhis turbinata","0-20","cm",NA,""
"556","","Chimarrhis turbinata","Soil N scaled by soil %N with depth","",NA,""
"557","","Chimarrhis turbinata","Gabi.Thesis","",NA,""
"558","","Chimarrhis turbinata","-54.95","",-54.95,""
"559","","Chimarrhis turbinata","-2.85","",-2.85,""
"560","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"561","","Chimarrhis turbinata","4.95300007","",NA,""
"562","","Chimarrhis turbinata","24","C",NA,""
"563","","Chimarrhis turbinata","2190","mm/yr",NA,""
"564","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"565","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.2","%",22,"mg/g"
"566","Leaf phosphorus (P) content per leaf dry mass","Chimarrhis turbinata","0.07","%",0.7,"mg/g"
"567","Leaf nitrogen/phosphorus (N/P) ratio","Chimarrhis turbinata","31.4285714","g/g",31.4285714,"g/g"
"568","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","10.22","per mill",10.22,"per mill"
"569","","Chimarrhis turbinata","9.43429149","",NA,""
"570","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","0.78570851","per mill",0.78570851,"per mill"
"571","","Chimarrhis turbinata","12.862999","",NA,""
"572","","Chimarrhis turbinata","0-20","cm",NA,""
"573","","Chimarrhis turbinata","Soil N scaled by soil %N with depth","",NA,""
"574","","Chimarrhis turbinata","Gabi.Thesis","",NA,""
"575","","Chimarrhis turbinata","-54.95","",-54.95,""
"576","","Chimarrhis turbinata","-2.85","",-2.85,""
"577","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"578","","Chimarrhis turbinata","4.95300007","",NA,""
"579","","Chimarrhis turbinata","24","C",NA,""
"580","","Chimarrhis turbinata","2190","mm/yr",NA,""
"581","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"582","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.25","%",22.5,"mg/g"
"583","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","7.95","per mill",7.95,"per mill"
"584","","Chimarrhis turbinata","9.43429149","",NA,""
"585","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.4842915","per mill",-1.4842915,"per mill"
"586","","Chimarrhis turbinata","12.862999","",NA,""
"587","","Chimarrhis turbinata","0-20","cm",NA,""
"588","","Chimarrhis turbinata","Soil N scaled by soil %N with depth","",NA,""
"589","","Chimarrhis turbinata","Gabi.Thesis","",NA,""
"590","","Chimarrhis turbinata","-54.95","",-54.95,""
"591","","Chimarrhis turbinata","-2.85","",-2.85,""
"592","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"593","","Chimarrhis turbinata","4.95300007","",NA,""
"594","","Chimarrhis turbinata","24","C",NA,""
"595","","Chimarrhis turbinata","2190","mm/yr",NA,""
"596","Plant nitrogen fixation capacity","Chimarrhis turbinata","No","",NA,""
"597","Leaf nitrogen (N) content per leaf dry mass","Chimarrhis turbinata","2.31","%",23.1,"mg/g"
"598","Leaf nitrogen (N) isotope signature (delta 15N)","Chimarrhis turbinata","8.15","per mill",8.15,"per mill"
"599","","Chimarrhis turbinata","9.43429149","",NA,""
"600","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Chimarrhis turbinata","-1.2842915","per mill",-1.2842915,"per mill"
"601","","Chimarrhis turbinata","12.862999","",NA,""
"602","","Chimarrhis turbinata","0-20","cm",NA,""
"603","","Chimarrhis turbinata","Soil N scaled by soil %N with depth","",NA,""
"604","","Chimarrhis turbinata","Gabi.Thesis","",NA,""
